National Center for Education Statistics,,,,
Student financial aid, selected years,,,
198622,Guilford Technical Community College,Any aid,Number receiving,911
198622,Guilford Technical Community College,Federal grants,Number receiving,768
198622,Guilford Technical Community College,-,Average amount,4336
198622,Guilford Technical Community College,State/Local grants,Number receiving,251
198622,Guilford Technical Community College,-,Average amount,1370
198622,Guilford Technical Community College,Institutional grants,Number receiving,52
198622,Guilford Technical Community College,-,Average amount,941
198622,Guilford Technical Community College,Loans,Number receiving,368
198622,Guilford Technical Community College,-,Average amount,4227
198640,Halifax Community College,First-time full-time undergraduates,Total,198
198640,Halifax Community College,Any aid,Number receiving,124
198640,Halifax Community College,Federal grants,Number receiving,109
198640,Halifax Community College,-,Average amount,5213
198640,Halifax Community College,State/Local grants,Number receiving,20
198640,Halifax Community College,-,Average amount,1413
198640,Halifax Community College,Institutional grants,Number receiving,12
198640,Halifax Community College,-,Average amount,884
198640,Halifax Community College,Loans,Number receiving,3
198640,Halifax Community College,-,Average amount,4556
198668,Haywood Community College,First-time full-time undergraduates,Total,94
198668,Haywood Community College,Any aid,Number receiving,74
198668,Haywood Community College,Federal grants,Number receiving,58
198668,Haywood Community College,-,Average amount,4789
198668,Haywood Community College,State/Local grants,Number receiving,18
198668,Haywood Community College,-,Average amount,1500
198668,Haywood Community College,Institutional grants,Number receiving,31
198668,Haywood Community College,-,Average amount,880
198668,Haywood Community College,Loans,Number receiving,1
198668,Haywood Community College,-,Average amount,15200
198710,Isothermal Community College,First-time full-time undergraduates,Total,231
198710,Isothermal Community College,Any aid,Number receiving,218
198710,Isothermal Community College,Federal grants,Number receiving,170
198710,Isothermal Community College,-,Average amount,4810
198710,Isothermal Community College,State/Local grants,Number receiving,55
198710,Isothermal Community College,-,Average amount,1572
198710,Isothermal Community College,Institutional grants,Number receiving,146
198710,Isothermal Community College,-,Average amount,2349
198710,Isothermal Community College,Loans,Number receiving,0
198710,Isothermal Community College,-,Average amount,-
198729,James Sprunt Community College,First-time full-time undergraduates,Total,100
198729,James Sprunt Community College,Any aid,Number receiving,82
198729,James Sprunt Community College,Federal grants,Number receiving,82
198729,James Sprunt Community College,-,Average amount,4971
198729,James Sprunt Community College,State/Local grants,Number receiving,19
198729,James Sprunt Community College,-,Average amount,1418
198729,James Sprunt Community College,Institutional grants,Number receiving,6
198729,James Sprunt Community College,-,Average amount,3000
198729,James Sprunt Community College,Loans,Number receiving,0
198729,James Sprunt Community College,-,Average amount,-
198774,Johnston Community College,First-time full-time undergraduates,Total,415
198774,Johnston Community College,Any aid,Number receiving,244
198774,Johnston Community College,Federal grants,Number receiving,210
198774,Johnston Community College,-,Average amount,4693
198774,Johnston Community College,State/Local grants,Number receiving,71
198774,Johnston Community College,-,Average amount,1224
198774,Johnston Community College,Institutional grants,Number receiving,23
198774,Johnston Community College,-,Average amount,1632
198774,Johnston Community College,Loans,Number receiving,7
198774,Johnston Community College,-,Average amount,5691
198817,Lenoir Community College,First-time full-time undergraduates,Total,247
198817,Lenoir Community College,Any aid,Number receiving,208
198817,Lenoir Community College,Federal grants,Number receiving,172
198817,Lenoir Community College,-,Average amount,5175
198817,Lenoir Community College,State/Local grants,Number receiving,34
198817,Lenoir Community College,-,Average amount,1526
198817,Lenoir Community College,Institutional grants,Number receiving,53
198817,Lenoir Community College,-,Average amount,1115
198817,Lenoir Community College,Loans,Number receiving,2
198817,Lenoir Community College,-,Average amount,7150
198905,Martin Community College,First-time full-time undergraduates,Total,42
198905,Martin Community College,Any aid,Number receiving,42
198905,Martin Community College,Federal grants,Number receiving,34
198905,Martin Community College,-,Average amount,4974
198905,Martin Community College,State/Local grants,Number receiving,22
198905,Martin Community College,-,Average amount,1300
198905,Martin Community College,Institutional grants,Number receiving,1
198905,Martin Community College,-,Average amount,750
198905,Martin Community College,Loans,Number receiving,0
198905,Martin Community College,-,Average amount,-
198914,Mayland Community College,First-time full-time undergraduates,Total,88
198914,Mayland Community College,Any aid,Number receiving,78
198914,Mayland Community College,Federal grants,Number receiving,59
198914,Mayland Community College,-,Average amount,4600
198914,Mayland Community College,State/Local grants,Number receiving,30
198914,Mayland Community College,-,Average amount,1869
198914,Mayland Community College,Institutional grants,Number receiving,10
198914,Mayland Community College,-,Average amount,880
198914,Mayland Community College,Loans,Number receiving,0
198914,Mayland Community College,-,Average amount,-
198923,McDowell Technical Community College,First-time full-time undergraduates,Total,74
198923,McDowell Technical Community College,Any aid,Number receiving,57
198923,McDowell Technical Community College,Federal grants,Number receiving,47
198923,McDowell Technical Community College,-,Average amount,4823
198923,McDowell Technical Community College,State/Local grants,Number receiving,25
198923,McDowell Technical Community College,-,Average amount,1435
198923,McDowell Technical Community College,Institutional grants,Number receiving,2
198923,McDowell Technical Community College,-,Average amount,1971
198923,McDowell Technical Community College,Loans,Number receiving,0
198923,McDowell Technical Community College,-,Average amount,-
198941,Mercy School of Nursing,First-time full-time undergraduates,Total,0
198941,Mercy School of Nursing,Any aid,Number receiving,-
198941,Mercy School of Nursing,Federal grants,Number receiving,-
198941,Mercy School of Nursing,-,Average amount,-
198941,Mercy School of Nursing,State/Local grants,Number receiving,-
198941,Mercy School of Nursing,-,Average amount,-
198941,Mercy School of Nursing,Institutional grants,Number receiving,-
198941,Mercy School of Nursing,-,Average amount,-
198941,Mercy School of Nursing,Loans,Number receiving,-
198941,Mercy School of Nursing,-,Average amount,-
198987,Mitchell Community College,First-time full-time undergraduates,Total,319
198987,Mitchell Community College,Any aid,Number receiving,204
198987,Mitchell Community College,Federal grants,Number receiving,178
198987,Mitchell Community College,-,Average amount,4504
198987,Mitchell Community College,State/Local grants,Number receiving,106
198987,Mitchell Community College,-,Average amount,976
198987,Mitchell Community College,Institutional grants,Number receiving,27
198987,Mitchell Community College,-,Average amount,939
198987,Mitchell Community College,Loans,Number receiving,2
198987,Mitchell Community College,-,Average amount,3600
199023,Montgomery Community College,First-time full-time undergraduates,Total,74
199023,Montgomery Community College,Any aid,Number receiving,53
199023,Montgomery Community College,Federal grants,Number receiving,34
199023,Montgomery Community College,-,Average amount,5210
199023,Montgomery Community College,State/Local grants,Number receiving,13
199023,Montgomery Community College,-,Average amount,1730
199023,Montgomery Community College,Institutional grants,Number receiving,14
199023,Montgomery Community College,-,Average amount,2297
199023,Montgomery Community College,Loans,Number receiving,1
199023,Montgomery Community College,-,Average amount,16000
199087,Nash Community College,First-time full-time undergraduates,Total,348
199087,Nash Community College,Any aid,Number receiving,277
199087,Nash Community College,Federal grants,Number receiving,224
199087,Nash Community College,-,Average amount,4435
199087,Nash Community College,State/Local grants,Number receiving,47
199087,Nash Community College,-,Average amount,1291
199087,Nash Community College,Institutional grants,Number receiving,62
199087,Nash Community College,-,Average amount,718
199087,Nash Community College,Loans,Number receiving,68
199087,Nash Community College,-,Average amount,5239
199102,North Carolina A & T State University,First-time full-time undergraduates,Total,1773
199102,North Carolina A & T State University,Any aid,Number receiving,1532
199102,North Carolina A & T State University,Federal grants,Number receiving,1039
199102,North Carolina A & T State University,-,Average amount,5109
199102,North Carolina A & T State University,State/Local grants,Number receiving,850
199102,North Carolina A & T State University,-,Average amount,2858
199102,North Carolina A & T State University,Institutional grants,Number receiving,1176
199102,North Carolina A & T State University,-,Average amount,2990
199102,North Carolina A & T State University,Loans,Number receiving,1336
199102,North Carolina A & T State University,-,Average amount,6302
199111,University of North Carolina at Asheville,First-time full-time undergraduates,Total,734
199111,University of North Carolina at Asheville,Any aid,Number receiving,555
199111,University of North Carolina at Asheville,Federal grants,Number receiving,240
199111,University of North Carolina at Asheville,-,Average amount,4363
199111,University of North Carolina at Asheville,State/Local grants,Number receiving,297
199111,University of North Carolina at Asheville,-,Average amount,2445
199111,University of North Carolina at Asheville,Institutional grants,Number receiving,451
199111,University of North Carolina at Asheville,-,Average amount,3870
199111,University of North Carolina at Asheville,Loans,Number receiving,389
199111,University of North Carolina at Asheville,-,Average amount,5681
199120,University of North Carolina at Chapel Hill,First-time full-time undergraduates,Total,4073
199120,University of North Carolina at Chapel Hill,Any aid,Number receiving,2588
199120,University of North Carolina at Chapel Hill,Federal grants,Number receiving,871
199120,University of North Carolina at Chapel Hill,-,Average amount,4655
199120,University of North Carolina at Chapel Hill,State/Local grants,Number receiving,736
199120,University of North Carolina at Chapel Hill,-,Average amount,4021
199120,University of North Carolina at Chapel Hill,Institutional grants,Number receiving,1689
199120,University of North Carolina at Chapel Hill,-,Average amount,14036
199120,University of North Carolina at Chapel Hill,Loans,Number receiving,1165
199120,University of North Carolina at Chapel Hill,-,Average amount,6665
199139,University of North Carolina at Charlotte,First-time full-time undergraduates,Total,3438
199139,University of North Carolina at Charlotte,Any aid,Number receiving,2468
199139,University of North Carolina at Charlotte,Federal grants,Number receiving,1133
199139,University of North Carolina at Charlotte,-,Average amount,4481
199139,University of North Carolina at Charlotte,State/Local grants,Number receiving,1141
199139,University of North Carolina at Charlotte,-,Average amount,2843
199139,University of North Carolina at Charlotte,Institutional grants,Number receiving,965
199139,University of North Carolina at Charlotte,-,Average amount,4432
199139,University of North Carolina at Charlotte,Loans,Number receiving,1923
199139,University of North Carolina at Charlotte,-,Average amount,6793
199148,University of North Carolina at Greensboro,First-time full-time undergraduates,Total,2757
199148,University of North Carolina at Greensboro,Any aid,Number receiving,2321
199148,University of North Carolina at Greensboro,Federal grants,Number receiving,1442
199148,University of North Carolina at Greensboro,-,Average amount,4547
199148,University of North Carolina at Greensboro,State/Local grants,Number receiving,1466
199148,University of North Carolina at Greensboro,-,Average amount,3112
199148,University of North Carolina at Greensboro,Institutional grants,Number receiving,1672
199148,University of North Carolina at Greensboro,-,Average amount,2731
199148,University of North Carolina at Greensboro,Loans,Number receiving,1840
199148,University of North Carolina at Greensboro,-,Average amount,5827
199157,North Carolina Central University,First-time full-time undergraduates,Total,1101
199157,North Carolina Central University,Any aid,Number receiving,1063
199157,North Carolina Central University,Federal grants,Number receiving,852
199157,North Carolina Central University,-,Average amount,5552
199157,North Carolina Central University,State/Local grants,Number receiving,756
199157,North Carolina Central University,-,Average amount,2714
199157,North Carolina Central University,Institutional grants,Number receiving,907
199157,North Carolina Central University,-,Average amount,2589
199157,North Carolina Central University,Loans,Number receiving,937
199157,North Carolina Central University,-,Average amount,6715
199184,University of North Carolina School of the Arts,First-time full-time undergraduates,Total,199
199184,University of North Carolina School of the Arts,Any aid,Number receiving,156
199184,University of North Carolina School of the Arts,Federal grants,Number receiving,52
199184,University of North Carolina School of the Arts,-,Average amount,4864
199184,University of North Carolina School of the Arts,State/Local grants,Number receiving,30
199184,University of North Carolina School of the Arts,-,Average amount,4183
199184,University of North Carolina School of the Arts,Institutional grants,Number receiving,134
199184,University of North Carolina School of the Arts,-,Average amount,5841
199184,University of North Carolina School of the Arts,Loans,Number receiving,114
199184,University of North Carolina School of the Arts,-,Average amount,7184
199193,North Carolina State University at Raleigh,First-time full-time undergraduates,Total,4359
199193,North Carolina State University at Raleigh,Any aid,Number receiving,2993
199193,North Carolina State University at Raleigh,Federal grants,Number receiving,816
199193,North Carolina State University at Raleigh,-,Average amount,4475
199193,North Carolina State University at Raleigh,State/Local grants,Number receiving,865
199193,North Carolina State University at Raleigh,-,Average amount,4046
199193,North Carolina State University at Raleigh,Institutional grants,Number receiving,2102
199193,North Carolina State University at Raleigh,-,Average amount,7464
199193,North Carolina State University at Raleigh,Loans,Number receiving,1887
199193,North Carolina State University at Raleigh,-,Average amount,6383
199218,University of North Carolina Wilmington,First-time full-time undergraduates,Total,2023
199218,University of North Carolina Wilmington,Any aid,Number receiving,1442
199218,University of North Carolina Wilmington,Federal grants,Number receiving,468
199218,University of North Carolina Wilmington,-,Average amount,4557
199218,University of North Carolina Wilmington,State/Local grants,Number receiving,492
199218,University of North Carolina Wilmington,-,Average amount,3007
199218,University of North Carolina Wilmington,Institutional grants,Number receiving,1002
199218,University of North Carolina Wilmington,-,Average amount,2536
199218,University of North Carolina Wilmington,Loans,Number receiving,1043
199218,University of North Carolina Wilmington,-,Average amount,6596
199263,Pamlico Community College,First-time full-time undergraduates,Total,39
199263,Pamlico Community College,Any aid,Number receiving,12
199263,Pamlico Community College,Federal grants,Number receiving,10
199263,Pamlico Community College,-,Average amount,4903
199263,Pamlico Community College,State/Local grants,Number receiving,3
199263,Pamlico Community College,-,Average amount,1446
199263,Pamlico Community College,Institutional grants,Number receiving,7
199263,Pamlico Community College,-,Average amount,1757
199263,Pamlico Community College,Loans,Number receiving,0
199263,Pamlico Community College,-,Average amount,-
199281,University of North Carolina at Pembroke,First-time full-time undergraduates,Total,1216
199281,University of North Carolina at Pembroke,Any aid,Number receiving,1103
199281,University of North Carolina at Pembroke,Federal grants,Number receiving,752
199281,University of North Carolina at Pembroke,-,Average amount,4831
199281,University of North Carolina at Pembroke,State/Local grants,Number receiving,799
199281,University of North Carolina at Pembroke,-,Average amount,2416
199281,University of North Carolina at Pembroke,Institutional grants,Number receiving,466
199281,University of North Carolina at Pembroke,-,Average amount,1831
199281,University of North Carolina at Pembroke,Loans,Number receiving,894
199281,University of North Carolina at Pembroke,-,Average amount,5558
199324,Piedmont Community College,First-time full-time undergraduates,Total,164
199324,Piedmont Community College,Any aid,Number receiving,102
199324,Piedmont Community College,Federal grants,Number receiving,78
