National Center for Education Statistics,,,,,,,,,
Enrollment by student level Fall 2016,,,,,,,,,
UnitId,Institution name,Student level,Full time Men,Full time Women,Full time Total,Part time Men,Part time Women,Part time Total,Grand total
198367,Craven Community College,-,-,-,-,-,-,-,-
198367,Craven Community College,All students total,508,566,1074,702,1107,1809,2883
198376,Davidson County Community College,Undergraduate total,635,876,1511,729,1579,2308,3819
198376,Davidson County Community College,-,-,-,-,-,-,-,-
198376,Davidson County Community College,All students total,635,876,1511,729,1579,2308,3819
198455,Durham Technical Community College,Undergraduate total,658,761,1419,1358,2397,3755,5174
198455,Durham Technical Community College,-,-,-,-,-,-,-,-
198455,Durham Technical Community College,All students total,658,761,1419,1358,2397,3755,5174
198464,East Carolina University,Undergraduate total,8412,11342,19754,1369,1846,3215,22969
198464,East Carolina University,Graduate ,969,1643,2612,1094,2287,3381,5993
198464,East Carolina University,All students total,9381,12985,22366,2463,4133,6596,28962
198491,Edgecombe Community College,Undergraduate total,195,609,804,342,1082,1424,2228
198491,Edgecombe Community College,-,-,-,-,-,-,-,-
198491,Edgecombe Community College,All students total,195,609,804,342,1082,1424,2228
198507,Elizabeth City State University,Undergraduate total,534,663,1197,42,71,113,1310
198507,Elizabeth City State University,Graduate ,3,8,11,8,28,36,47
198507,Elizabeth City State University,All students total,537,671,1208,50,99,149,1357
198543,Fayetteville State University,Undergraduate total,1351,2790,4141,418,981,1399,5540
198543,Fayetteville State University,Graduate ,125,248,373,109,201,310,683
198543,Fayetteville State University,All students total,1476,3038,4514,527,1182,1709,6223
198534,Fayetteville Technical Community College,Undergraduate total,1787,2432,4219,3061,4100,7161,11380
198534,Fayetteville Technical Community College,-,-,-,-,-,-,-,-
198534,Fayetteville Technical Community College,All students total,1787,2432,4219,3061,4100,7161,11380
198552,Forsyth Technical Community College,Undergraduate total,1450,1670,3120,1778,2992,4770,7890
198552,Forsyth Technical Community College,-,-,-,-,-,-,-,-
198552,Forsyth Technical Community College,All students total,1450,1670,3120,1778,2992,4770,7890
198570,Gaston College,Undergraduate total,661,987,1648,1341,2644,3985,5633
198570,Gaston College,-,-,-,-,-,-,-,-
198570,Gaston College,All students total,661,987,1648,1341,2644,3985,5633
198622,Guilford Technical Community College,Undergraduate total,2425,2771,5196,2340,3523,5863,11059
198622,Guilford Technical Community College,-,-,-,-,-,-,-,-
198622,Guilford Technical Community College,All students total,2425,2771,5196,2340,3523,5863,11059
198640,Halifax Community College,Undergraduate total,258,302,560,176,400,576,1136
198640,Halifax Community College,-,-,-,-,-,-,-,-
198640,Halifax Community College,All students total,258,302,560,176,400,576,1136
198668,Haywood Community College,Undergraduate total,324,371,695,378,721,1099,1794
198668,Haywood Community College,-,-,-,-,-,-,-,-
198668,Haywood Community College,All students total,324,371,695,378,721,1099,1794
198710,Isothermal Community College,Undergraduate total,332,476,808,437,676,1113,1921
198710,Isothermal Community College,-,-,-,-,-,-,-,-
198710,Isothermal Community College,All students total,332,476,808,437,676,1113,1921
198729,James Sprunt Community College,Undergraduate total,147,293,440,261,527,788,1228
198729,James Sprunt Community College,-,-,-,-,-,-,-,-
198729,James Sprunt Community College,All students total,147,293,440,261,527,788,1228
198774,Johnston Community College,Undergraduate total,618,931,1549,753,1601,2354,3903
198774,Johnston Community College,-,-,-,-,-,-,-,-
198774,Johnston Community College,All students total,618,931,1549,753,1601,2354,3903
198817,Lenoir Community College,Undergraduate total,434,602,1036,618,1020,1638,2674
198817,Lenoir Community College,-,-,-,-,-,-,-,-
198817,Lenoir Community College,All students total,434,602,1036,618,1020,1638,2674
198905,Martin Community College,Undergraduate total,100,192,292,203,351,554,846
198905,Martin Community College,-,-,-,-,-,-,-,-
198905,Martin Community College,All students total,100,192,292,203,351,554,846
198914,Mayland Community College,Undergraduate total,147,232,379,341,468,809,1188
198914,Mayland Community College,-,-,-,-,-,-,-,-
198914,Mayland Community College,All students total,147,232,379,341,468,809,1188
198923,McDowell Technical Community College,Undergraduate total,123,205,328,297,495,792,1120
198923,McDowell Technical Community College,-,-,-,-,-,-,-,-
198923,McDowell Technical Community College,All students total,123,205,328,297,495,792,1120
198941,Mercy School of Nursing,-,-,-,-,-,-,-,-
198941,Mercy School of Nursing,-,-,-,-,-,-,-,-
198941,Mercy School of Nursing,-,-,-,-,-,-,-,-
198987,Mitchell Community College,Undergraduate total,471,695,1166,687,1220,1907,3073
198987,Mitchell Community College,-,-,-,-,-,-,-,-
198987,Mitchell Community College,All students total,471,695,1166,687,1220,1907,3073
199023,Montgomery Community College,Undergraduate total,144,167,311,157,295,452,763
199023,Montgomery Community College,-,-,-,-,-,-,-,-
199023,Montgomery Community College,All students total,144,167,311,157,295,452,763
199087,Nash Community College,Undergraduate total,511,792,1303,729,1018,1747,3050
199087,Nash Community College,-,-,-,-,-,-,-,-
199087,Nash Community College,All students total,511,792,1303,729,1018,1747,3050
199102,North Carolina A & T State University,Undergraduate total,3878,4869,8747,434,487,921,9668
199102,North Carolina A & T State University,Graduate ,382,518,900,263,346,609,1509
199102,North Carolina A & T State University,All students total,4260,5387,9647,697,833,1530,11177
199157,North Carolina Central University,Undergraduate total,1871,3471,5342,244,697,941,6283
199157,North Carolina Central University,Graduate ,415,891,1306,139,366,505,1811
199157,North Carolina Central University,All students total,2286,4362,6648,383,1063,1446,8094
199193,North Carolina State University at Raleigh,Undergraduate total,11400,9551,20951,1660,1216,2876,23827
199193,North Carolina State University at Raleigh,Graduate ,3192,2633,5825,2309,1794,4103,9928
199193,North Carolina State University at Raleigh,All students total,14592,12184,26776,3969,3010,6979,33755
199263,Pamlico Community College,Undergraduate total,80,94,174,138,196,334,508
199263,Pamlico Community College,-,-,-,-,-,-,-,-
199263,Pamlico Community College,All students total,80,94,174,138,196,334,508
